title,category,county,address,address2,zip,address_full
Advance Auto Parts,Auto Parts,St Clair,1604 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1604 Camp Jackson Rd, East St Louis, IL 62206"
Al's Automotive Supply,Auto Parts,St Clair,1217 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1217 Camp Jackson Rd, East St Louis, IL 62206"
All Type Auto Parts,Auto Parts,St Clair,3465 Camp Jackson Rd,"East St Louis, IL 62206",62206,"3465 Camp Jackson Rd, East St Louis, IL 62206"
American Auto Sales & Salvage,Auto Parts,St Clair,2001 Missouri Ave,"East St Louis, IL 62205",62205,"2001 Missouri Ave, East St Louis, IL 62205"
American Mobile Service,Auto Parts,St Clair,1300 Queeny Ave,"East St Louis, IL 62206",62206,"1300 Queeny Ave, East St Louis, IL 62206"
AutoZone,Auto Parts,St Clair,1687 Camp Jackson Rd,"East St Louis, IL 62206",62206,"1687 Camp Jackson Rd, East St Louis, IL 62206"
AutoZone,Auto Parts,St Clair,2615 State St,"East St Louis, IL 62205",62205,"2615 State St, East St Louis, IL 62205"
B Auto Parts,Auto Parts,St Clair,500 Madison Rd,"East St Louis, IL 62201",62201,"500 Madison Rd, East St Louis, IL 62201"
Bob's Auto Parts & Repair,Auto Parts,St Clair,4802 Old Missouri Ave,"East St Louis, IL 62207",62207,"4802 Old Missouri Ave, East St Louis, IL 62207"
Bud's Trailer Repair,Auto Parts,St Clair,6301 St Clair Ave,"East St Louis, IL 62203",62203,"6301 St Clair Ave, East St Louis, IL 62203"
Cahokia Discount Mufflers,Auto Parts,St Clair,2804 Camp Jackson Rd,"East St Louis, IL 62206",62206,"2804 Camp Jackson Rd, East St Louis, IL 62206"
Dynamic Drivetrain Services,Auto Parts,St Clair,1 Twin Lake Dr,"East St Louis, IL 62203",62203,"1 Twin Lake Dr, East St Louis, IL 62203"
Grand Street Auto Parts,Auto Parts,St Clair,4400 Grand St,"East St Louis, IL 62207",62207,"4400 Grand St, East St Louis, IL 62207"
Haven Glass,Auto Parts,St Clair,2224 State St,"East St Louis, IL 62205",62205,"2224 State St, East St Louis, IL 62205"
Long R L & Son Wholesale Motor Parts,Auto Parts,St Clair,1520 Summit Ave,"East St Louis, IL 62205",62205,"1520 Summit Ave, East St Louis, IL 62205"
M & M Tire Service,Auto Parts,St Clair,3204 Camp Jackson Rd,"East St Louis, IL 62206",62206,"3204 Camp Jackson Rd, East St Louis, IL 62206"
Marty's Used Car & Truck Parts,Auto Parts,St Clair,2014 Camp Jackson Rd,"East St Louis, IL 62206",62206,"2014 Camp Jackson Rd, East St Louis, IL 62206"
McKay Auto Parts,Auto Parts,Madison,8201 Collinsville Rd,"East St Louis, IL 62201",62201,"8201 Collinsville Rd, East St Louis, IL 62201"
Mid-States Custom Exhaust,Auto Parts,St Clair,99 Water St,"East St Louis, IL 62206",62206,"99 Water St, East St Louis, IL 62206"
Mudd Duck Auto,Auto Parts,St Clair,7704 Millstadt Rd,"East St Louis, IL 62206",62206,"7704 Millstadt Rd, East St Louis, IL 62206"
O'Reilly Auto Parts,Auto Parts,St Clair,2614 State St,"East St Louis, IL 62205",62205,"2614 State St, East St Louis, IL 62205"
Pick A Part,Auto Parts,St Clair,6111 Bunkum Rd,"East St Louis, IL 62204",62204,"6111 Bunkum Rd, East St Louis, IL 62204"
Speedway Salvage,Auto Parts,St Clair,520 Madison Rd,"East St Louis, IL 62201",62201,"520 Madison Rd, East St Louis, IL 62201"
Stokes Brothers Automatic Transmission,Auto Parts,St Clair,529 Cooper Dr,"East St Louis, IL 62206",62206,"529 Cooper Dr, East St Louis, IL 62206"
Trans-Supply,Auto Parts,St Clair,2100 Summit Ave,"East St Louis, IL 62205",62205,"2100 Summit Ave, East St Louis, IL 62205"
Van Shop,Auto Parts,St Clair,2213 Doris Ave,"East St Louis, IL 62206",62206,"2213 Doris Ave, East St Louis, IL 62206"
