title,category,county,address,address2,zip,address_full,authority,units
Cahill House At Murphy Park,Public Housing,City of St. Louis,1919 Ofallon St,"Saint Louis, MO 63106",63106,"1919 Ofallon St Saint Louis, MO 63106",St. Louis Housing Authority,111
Cambridge Heights,Public Housing,City of St. Louis,700 Dickson St,"Saint Louis, MO 63106",63106,"700 Dickson St Saint Louis, MO 63106",St. Louis Housing Authority,125
Cambridge Heights II,Public Housing,City of St. Louis,1201 N 8th St,"Saint Louis, MO 63106",63106,"1201 N 8th St Saint Louis, MO 63106",St. Louis Housing Authority,102
Clinton Peabody,Public Housing,City of St. Louis,1401 Peabody Ct,"Saint Louis, MO 63104",63104,"1401 Peabody Ct Saint Louis, MO 63104",St. Louis Housing Authority,358
Cochran Plaza,Public Housing,City of St. Louis,1450 N 10th St,"Saint Louis, MO 63106",63106,"1450 N 10th St Saint Louis, MO 63106",St. Louis Housing Authority,78
King Louis Apartments II,Public Housing,City of St. Louis,1011 S Tucker Blvd,"Saint Louis, MO 63104",63104,"1011 S Tucker Blvd Saint Louis, MO 63104",St. Louis Housing Authority,44
King Louis Square III,Public Housing,City of St. Louis,1320 Lasalle Ln,"Saint Louis, MO 63104",63104,"1320 Lasalle Ln Saint Louis, MO 63104",St. Louis Housing Authority,24
Lasalle Park Village,Public Housing,City of St. Louis,1200 S 11th St,"Saint Louis, MO 63104",63104,"1200 S 11th St Saint Louis, MO 63104",St. Louis Housing Authority,148
Les Chateaux,Public Housing,City of St. Louis,1020 S 14th St,"Saint Louis, MO 63104",63104,"1020 S 14th St Saint Louis, MO 63104",St. Louis Housing Authority,40
North Sarah III,Public Housing,City of St. Louis,4138 C D Banks Ave,"Saint Louis, MO 63113",63113,"4138 C D Banks Ave Saint Louis, MO 63113",St. Louis Housing Authority,77
North Sarah Phase I,Public Housing,City of St. Louis,4048 C D Banks Ave,"Saint Louis, MO 63113",63113,"4048 C D Banks Ave Saint Louis, MO 63113",St. Louis Housing Authority,120
North Sarah Phase II,Public Housing,City of St. Louis,3902 C D Banks Ave,"Saint Louis, MO 63113",63113,"3902 C D Banks Ave Saint Louis, MO 63113",St. Louis Housing Authority,103
Olivette,Public Housing,St. Louis,9330 Rothwell Heights Ln,"Olivette, MO 63132",63132,"9330 Rothwell Heights Ln Olivette, MO 63132",Olivette Housing Authority,14
Pagedale,Public Housing,St. Louis,6517 Joseph Ave,"Pagedale, MO 63133",63133,"6517 Joseph Ave Pagedale, MO 63133",Pagedale Housing Authority,81
Renaissance Place,Public Housing,City of St. Louis,3435 Delmar Blvd,"Saint Louis, MO 63103",63103,"3435 Delmar Blvd Saint Louis, MO 63103",St. Louis Housing Authority,158
Renaissance Place At Grand II,Public Housing,City of St. Louis,822 N Leonard Ave,"Saint Louis, MO 63106",63106,"822 N Leonard Ave Saint Louis, MO 63106",St. Louis Housing Authority,94
Residences At Murphy Park - Phase III,Public Housing,City of St. Louis,2100 Mullanphy St,"Saint Louis, MO 63106",63106,"2100 Mullanphy St Saint Louis, MO 63106",St. Louis Housing Authority,126
Senior  Living At Cambridge Heights,Public Housing,City of St. Louis,728 Biddle St,"Saint Louis, MO 63101",63101,"728 Biddle St Saint Louis, MO 63101",St. Louis Housing Authority,117
Senior Living At Renaissance Place,Public Housing,City of St. Louis,NA,"St Louis, MO 63106",63106,"NA St Louis, MO 63106",St. Louis Housing Authority,110
St Louis Hsg Auth,Public Housing,City of St. Louis,4503 McMillan Ave,"Saint Louis, MO 63108",63108,"4503 McMillan Ave Saint Louis, MO 63108",St. Louis Housing Authority,128
Vaughn - Murphy Park Phase II,Public Housing,City of St. Louis,2033 Howard St,"Saint Louis, MO 63106",63106,"2033 Howard St Saint Louis, MO 63106",St. Louis Housing Authority,64
Vaughn Family,Public Housing,City of St. Louis,1830 Ofallon St,"Saint Louis, MO 63106",63106,"1830 Ofallon St Saint Louis, MO 63106",St. Louis Housing Authority,93
Wellston Ha,Public Housing,St. Louis,1547 Wellston Pl Apt 159,"Wellston, MO 63133",63133,"1547 Wellston Pl Apt 159 Wellston, MO 63133",Wellston Housing Authority,200
